Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude,Standardized_Business_Name
022549-2023-CMPL,11/8/23,311,311-16518208,Specialized Vending License - MFV,Price Not Posted,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/5/24,Duplicate Complaint - DUP,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022475-2023-CMPL,11/7/23,311,311-16506879,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022476-2023-CMPL,11/7/23,311,311-16506889,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/5/24,Duplicate Complaint - DUP,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022477-2023-CMPL,11/7/23,311,311-16506899,Specialized Vending License - MFV,Cashless Business,BA-1677411-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
022385-2023-CMPL,11/6/23,311,311-16494189,Specialized Vending License - MFV,Cashless Business,BA-1669505-2023,NYC Soft Ice Cream trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,2,WATER ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3000078,3000350012,BK38,1005,21,40.70310051,-73.99418974,NYC Soft Ice Cream Truck owned by Eddie Cumart
022386-2023-CMPL,11/6/23,311,311-16494203,Specialized Vending License - MFV,Price Not Posted,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/6/24,Duplicate Complaint - DUP,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022387-2023-CMPL,11/6/23,311,311-16494207,Specialized Vending License - MFV,Price Not Posted,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022300-2023-CMPL,11/4/23,311,311-16466292,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/6/24,Duplicate Complaint - DUP,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022301-2023-CMPL,11/4/23,311,311-16466305,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/6/24,Duplicate Complaint - DUP,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022124-2023-CMPL,11/2/23,311,311-16439319,Specialized Vending License - MFV,Price Not Posted,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/7/24,Duplicate Complaint - DUP,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022125-2023-CMPL,11/2/23,311,311-16439331,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022029-2023-CMPL,11/1/23,311,311-16425646,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/4/24,Duplicate Complaint - DUP,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022030-2023-CMPL,11/1/23,311,311-16425671,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/4/24,Duplicate Complaint - DUP,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
021844-2023-CMPL,10/29/23,311,311-16388211,Restaurant,Cashless Business,BA-1676605-2023,EDDIE'S ICE Cream,12/12/23,Complaint Review Complete,,,,Complete Address,25,HANK PL,,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5092586,5066940280,SI01,3024,198,40.51549411,-74.1975918,NYC Soft Ice Cream Truck owned by Eddie Cumart
021846-2023-CMPL,10/29/23,311,311-16388451,Specialized Vending License - MFV,Cashless Business,BA-1676605-2023,EDDIE'S ICE Cream,12/12/23,Complaint Review Complete,,,,Complete Address,25,HANK PL,,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5092586,5066940280,SI01,3024,198,40.51549411,-74.1975918,NYC Soft Ice Cream Truck owned by Eddie Cumart
021795-2023-CMPL,10/28/23,311,311-16377828,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
